2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: file:///workspace/PneumoStabSim-Professional/assets/qml/effects/PostEffects.qml:699:9: QML Connections: Detected function "onStatusChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: file:///workspace/PneumoStabSim-Professional/assets/qml/components/IblProbeLoader.qml:54:5: QML Connections: Detected function "onStatusChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: file:///workspace/PneumoStabSim-Professional/assets/qml/effects/FogEffect.qml:717:5: QML Connections: Detected function "onStatusChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: file:///workspace/PneumoStabSim-Professional/assets/qml/effects/FogEffect.qml:697:5: QML Connections: Detected function "onStatusChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: file:///workspace/PneumoStabSim-Professional/assets/qml/effects/FogEffect.qml:661:5: QML Connections: Detected function "onStatusChanged" in Connections element. This is probably intended to be a signal handler but no signal of the target matches the name.
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: [SimulationRoot] RenderSettings type unavailable; using default View3D settings
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: ✅ SimulationRoot initialized successfully
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtWarningMsg]: [SimulationRoot] Missing handler for geometry-defaults updates
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: ═══════════════════════════════════════════
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: ✅ CameraController initialized (v1.0.0)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: ═══════════════════════════════════════════
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 📷 Camera System Status:
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    State:        CameraState v1.0.0
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    Rig:          CameraRig v1.0.0
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    Controls:     MouseControls v1.0.0
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    Auto-rotate:  OFF
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    TAA adaptive: ON
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: ═══════════════════════════════════════════
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🎯 Camera Controller ready!
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: ═══════════════════════════════════════════
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: ✅ MouseControls initialized (v1.0.0)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    🖱️ Left button: rotation
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    🖱️ Right button: panning
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    🖱️ Wheel: zoom
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    🖱️ Double-click: reset view
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    ⌨️ Keys: R (reset), F (auto-fit), Space (animation), Ctrl+H (camera HUD)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: ✅ CameraRig initialized (v1.0.0)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    📷 Pivot: QVector3D(0, 0, 0)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    📷 Rotation: Yaw 225 ° | Pitch -25 °
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: ✅ PanNode initialized
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    📷 Local offset: QVector3D(0, 0, 0)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: ✅ PerspectiveCamera initialized
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    📷 Position: QVector3D(0, 0, 3.5)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    📷 FOV: 60 °
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    📷 Near: 0.10000000149011612 scene units | Far: 20 scene units
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: ✅ CameraState initialized (v1.0.0)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    📷 Pivot: QVector3D(0, 0, 0)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    📷 Distance: 3500 mm
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    📷 Yaw: 225 ° | Pitch: -25 °
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    📷 FOV: 60 °
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: ✅ SuspensionAssembly loaded (all components initialized)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🔧 SuspensionCorner initialized:
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    j_arm: 1.059999942779541 0.11999999731779099 1.190000057220459
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    j_tail: 1.059999942779541 0.7699999809265137 1.190000057220459
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    j_rod: 1.307499885559082 0.11999999731779099 1.190000057220459
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    leverAngle: 0 deg
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    pistonPosition: 0 m
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    rodLengthError: 0.1955 m
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🔷 CylinderGeometry ready (procedural mesh)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    segments=24, rings=1
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🔷 CylinderGeometry ready (procedural mesh)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    segments=3, rings=1
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🔷 CylinderGeometry ready (procedural mesh)
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]:    segments=24, rings=1
2025-11-03T07:01:08 | PID:5555 TID:140037049510784 | DEBUG    | PneumoStabSim | Qt[QtDebugMsg]: 🔧 SuspensionCorner initialized:
